name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon;Sydtaxid
Agnshult;56.54033095855;14.351890886695;65041;7437269;Agnshult;56.540331051605;14.35189103321;7065041
Agnshultsvägen;56.718306627723;14.198218638051;81177;7436181;Agnshultsvägen;56.718306741487;14.198218818803;7081177
Agunnaryd  kyrka;56.746805567217;14.146833381997;81173;7410006;Agunnaryd kyrka;56.746805685882;14.146833567406;7081173
Agunnaryd vägskäl;56.726149288382;14.140228217339;81336;7436185;Lidhem Ljungby;56.726244191381;14.140599973695;7081336
Agunnaryd, Bråna;56.748276398658;14.14667044091;81172;7424723;Agunnaryd Bråna;56.74827651738;14.146670626688;7081172
Alandsköp;56.526671646924;13.698507871474;67029;7436430;Alandsköp;56.52667179787;13.698507966434;7067029
Albrekts väg;56.747868012262;14.92556288042;80211;7435532;Albrekts väg;56.747679520652;14.925567523951;7080211
Alegatan;56.87337626893;14.823886128558;80024;7434807;Fläkten;56.873367370953;14.823886609188;7080024
Alledal, Halland;56.715590242799;13.195795603606;94020;7433262;Alledal;56.715463752596;13.196180282311;7094020
Allmogevägen;56.842279308671;14.800547070982;80011;7434790;Allmogevägen;56.842279389412;14.800547309934;7080011
Alsterbro;56.941856628831;15.91449913286;92004;7414082;Alsterbro centrum;56.942826386763;15.914650120783;7092004
Alsterfors, Uppvidinge;56.957868071154;15.604147046282;60032;7437064;Alsterfors;56.957868130447;15.604147341726;7060032
Alstermo skola;56.971488595477;15.660897745893;60111;7400091;Alstermo Värdshuset;56.97363330465;15.659574234545;7060111
Alstermo terminal;56.974976545886;15.649143290179;60110;7450561;Alstermo terminal;56.97497660516;15.649143588919;7060110
Alstermo, Larmgatan;56.975146803456;15.656164104758;60040;7424759;Alstermo Larmgatan;56.975146862639;15.656164403879;7060040
Altona;56.695839719102;14.799460676742;80314;7435519;Altona;56.695839793006;14.799460890865;7080314
Alvesta Folkets hus;56.900746475679;14.553462656037;64149;7420362;Alvesta Folkets hus;56.900764526956;14.553462292577;7064149
Alvesta Kyrka;56.900714340326;14.564640775667;64137;7424690;Alvesta kyrka;56.900758998656;14.564606709716;7064137
Alvesta resecentrum;56.898887251946;14.556134393695;64204;7400004;Alvesta station;56.898776091892;14.557582590554;7064204
Amundgård;57.000091623276;14.677069544956;80447;7435280;Amundgård;57.00009171417;14.677069804764;7080447
Agnshult;56.54033095855;14.351890886695;65041;7437269;Agnshult;56.540331051605;14.35189103321;7065041
Agnshultsvägen;56.718306627723;14.198218638051;81177;7436181;Agnshultsvägen;56.718306741487;14.198218818803;7081177
Agunnaryd  kyrka;56.746805567217;14.146833381997;81173;7410006;Agunnaryd kyrka;56.746805685882;14.146833567406;7081173
Agunnaryd vägskäl;56.726149288382;14.140228217339;81336;7436185;Lidhem Ljungby;56.726244191381;14.140599973695;7081336
Agunnaryd, Bråna;56.748276398658;14.14667044091;81172;7424723;Agunnaryd Bråna;56.74827651738;14.146670626688;7081172
Alandsköp;56.526671646924;13.698507871474;67029;7436430;Alandsköp;56.52667179787;13.698507966434;7067029
Albrekts väg;56.747868012262;14.92556288042;80211;7435532;Albrekts väg;56.747679520652;14.925567523951;7080211
Alegatan;56.87337626893;14.823886128558;80024;7434807;Fläkten;56.873367370953;14.823886609188;7080024
Alledal, Halland;56.715590242799;13.195795603606;94020;7433262;Alledal;56.715463752596;13.196180282311;7094020
Allmogevägen;56.842279308671;14.800547070982;80011;7434790;Allmogevägen;56.842279389412;14.800547309934;7080011
Alsterbro;56.941856628831;15.91449913286;92004;7414082;Alsterbro centrum;56.942826386763;15.914650120783;7092004
Alsterfors, Uppvidinge;56.957868071154;15.604147046282;60032;7437064;Alsterfors;56.957868130447;15.604147341726;7060032
Alstermo skola;56.971488595477;15.660897745893;60111;7400091;Alstermo Värdshuset;56.97363330465;15.659574234545;7060111
Alstermo terminal;56.974976545886;15.649143290179;60110;7450561;Alstermo terminal;56.97497660516;15.649143588919;7060110
Alstermo, Larmgatan;56.975146803456;15.656164104758;60040;7424759;Alstermo Larmgatan;56.975146862639;15.656164403879;7060040
Altona;56.695839719102;14.799460676742;80314;7435519;Altona;56.695839793006;14.799460890865;7080314
